"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-02-05","2023","02","05","","3.4","","-16.1","","-6.4","","24.4","","0.0","","0.9","","0.0","T","0.9","","7","","20","","52",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-02-06","2023","02","06","","4.1","","-5.0","","-0.5","","18.5","","0.0","","0.0","","0.0","T","0.0","T","3","","4","","73",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-02-07","2023","02","07","","-1.5","","-9.4","","-5.5","","23.5","","0.0","","0.0","","0.0","T","0.0","T","1","","2","","71",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-02-08","2023","02","08","","3.2","","-8.5","","-2.7","","20.7","","0.0","","0.0","","0.0","T","0.0","T","1","","34","","56",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-02-09","2023","02","09","","-1.4","","-7.8","","-4.6","","22.6","","0.0","","0.0","","0.0","T","0.0","T","0","T","32","","57",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-02-10","2023","02","10","","7.1","","-5.0","","1.1","","16.9","","0.0","","3.5","","2.0","","5.5","","2","","12","","49",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-02-11","2023","02","11","","2.6","","-7.8","","-2.6","","20.6","","0.0","","0.0","","0.0","T","0.0","T","0","T","29","","63",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-02-12","2023","02","12","","4.7","","-8.3","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","0","T","23","","53",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-02-13","2023","02","13","","0.1","","-5.0","","-2.5","","20.5","","0.0","","0.0","","9.0","","9.0","","0","T","1","","48",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-02-14","2023","02","14","","-2.2","","-9.9","","-6.1","","24.1","","0.0","","0.0","","1.0","","1.0","","10","","35","","53",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-02-15","2023","02","15","","4.4","","-10.6","","-3.1","","21.1","","0.0","","2.9","","0.0","","2.9","","7","E","20","","42",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-02-16","2023","02","16","","11.8","","3.0","","7.4","","10.6","","0.0","","0.0","T","0.0","","0.0","T","6","","28","","53",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-02-17","2023","02","17","","3.9","","-4.2","","-0.2","","18.2","","0.0","","3.6","","4.0","","7.6","","1","E","3","","50",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-02-18","2023","02","18","","-4.3","","-9.9","","-7.1","","25.1","","0.0","","0.0","","0.2","","0.2","","4","","36","","68",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-02-19","2023","02","19","","1.6","","-9.2","","-3.8","","21.8","","0.0","","0.0","","0.0","T","0.0","T","5","","28","","39",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-02-20","2023","02","20","","7.8","","1.5","","4.7","","13.3","","0.0","","31.6","","0.0","","31.6","","2","","17","","59",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-02-21","2023","02","21","","3.6","","-6.2","","-1.3","","19.3","","0.0","","0.0","","0.0","","0.0","","1","","31","","32",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-02-22","2023","02","22","","4.4","","-8.7","","-2.2","","20.2","","0.0","","0.0","","0.0","","0.0","","","","29","","53",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-02-23","2023","02","23","","-7.2","","-10.7","","-9.0","","27.0","","0.0","","0.0","","0.0","T","0.0","T","0","T","36","","37",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-02-24","2023","02","24","","-7.9","","-15.1","","-11.5","","29.5","","0.0","","0.0","","9.2","","9.2","","3","","2","","58",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-02-25","2023","02","25","","-11.7","","-17.8","","-14.8","","32.8","","0.0","","0.0","","0.0","","0.0","","11","","31","","41",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-02-26","2023","02","26","","-8.2","","-17.1","","-12.7","","30.7","","0.0","","0.0","","0.0","T","0.0","T","7","","","M","","M"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-02-27","2023","02","27","","-6.7","","-17.7","","-12.2","","30.2","","0.0","","0.0","","0.0","","0.0","","7","","34","","39",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-02-28","2023","02","28","","-4.8","","-15.0","","-9.9","","27.9","","0.0","","0.0","","0.0","","0.0","","7","","9","","37",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-03-01","2023","03","01","","-2.3","","-7.9","","-5.1","","23.1","","0.0","","0.0","","3.8","","3.8","","8","","","M","","M"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-03-02","2023","03","02","","1.6","","-6.1","","-2.3","","20.3","","0.0","","0.0","","12.6","","12.6","","10","","1","","68",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-03-03","2023","03","03","","-0.8","","-8.4","","-4.6","","22.6","","0.0","","0.0","","5.0","","5.0","","27","","36","","64",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-03-04","2023","03","04","","-3.0","","-11.7","","-7.4","","25.4","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-03-05","2023","03","05","","2.0","","-9.8","","-3.9","","21.9","","0.0","","0.0","","0.0","","0.0","","25","","30","","60",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-03-06","2023","03","06","","0.5","","-3.4","","-1.5","","19.5","","0.0","","0.0","","1.0","","1.0","","25","","31","","52",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-03-07","2023","03","07","","0.8","","-3.4","","-1.3","","19.3","","0.0","","0.0","","0.4","","0.4","","21","","2","","40",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-03-08","2023","03","08","","2.2","","-2.7","","-0.3","","18.3","","0.0","","0.0","","1.2","","1.2","","17","","2","","68",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-03-09","2023","03","09","","1.4","","-3.1","","-0.9","","18.9","","0.0","","0.0","","0.0","T","0.0","T","12","","1","","55",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-03-10","2023","03","10","","1.2","","-6.8","","-2.8","","20.8","","0.0","","0.0","","0.0","","0.0","","11","","34","","49",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-03-11","2023","03","11","","3.9","","-8.2","","-2.2","","20.2","","0.0","","0.0","","0.0","T","0.0","T","10","","2","","61",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-03-12","2023","03","12","","6.2","","-4.3","","1.0","","17.0","","0.0","","0.0","","0.0","T","0.0","T","9","","3","","50",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-03-13","2023","03","13","","6.8","","-6.5","","0.2","","17.8","","0.0","","0.0","","0.0","","0.0","","8","","2","","33",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-03-14","2023","03","14","","2.5","","-3.4","","-0.5","","18.5","","0.0","","3.8","","2.4","","6.2","","8","","11","","85",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-03-15","2023","03","15","","6.5","","-1.4","","2.6","","15.4","","0.0","","3.1","","8.0","","11.1","","9","","36","","46",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-03-16","2023","03","16","","0.6","","-1.9","","-0.7","","18.7","","0.0","","0.0","","0.0","T","0.0","T","13","","32","","57",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-03-17","2023","03","17","","3.8","","-1.6","","1.1","","16.9","","0.0","","0.0","","0.2","","0.2","","9","","34","","45",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-03-18","2023","03","18","","6.0","","0.2","","3.1","","14.9","","0.0","","2.1","","0.0","","2.1","","4","","14","","37",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-03-19","2023","03","19","","6.5","","-3.2","","1.7","","16.3","","0.0","","0.0","","0.0","T","0.0","T","3","","26","","62",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-03-20","2023","03","20","","4.6","","-6.0","","-0.7","","18.7","","0.0","","0.0","","0.0","","0.0","","3","","28","","64",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-03-21","2023","03","21","","9.2","","-3.4","","2.9","","15.1","","0.0","","0.0","","0.0","","0.0","","3","","28","","36",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-03-22","2023","03","22","","4.8","","-2.6","","1.1","","16.9","","0.0","","0.0","","0.0","","0.0","","2","","31","","43",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-03-23","2023","03","23","","2.7","","-4.7","","-1.0","","19.0","","0.0","","8.2","","1.2","","9.4","","2","","12","","54",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-03-24","2023","03","24","","1.5","","-2.9","","-0.7","","18.7","","0.0","","0.0","","0.0","T","0.0","T","1","","33","","69",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-03-25","2023","03","25","","3.6","","-3.5","","0.1","","17.9","","0.0","","0.0","","0.0","","0.0","","1","","34","","42",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-03-26","2023","03","26","","1.1","","-1.8","","-0.4","","18.4","","0.0","","1.1","","0.0","T","1.1","","2","","10","","72",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-03-27","2023","03","27","","4.3","","-1.6","","1.4","","16.6","","0.0","","0.0","","0.8","","0.8","","5","","33","","43",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-03-28","2023","03","28","","5.6","","-3.3","","1.2","","16.8","","0.0","","0.0","","0.0","T","0.0","T","3","","35","","34",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-03-29","2023","03","29","","6.4","","-4.4","","1.0","","17.0","","0.0","","0.0","","0.0","T","0.0","T","0","T","33","","32",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-03-30","2023","03","30","","5.3","","-6.4","","-0.6","","18.6","","0.0","","0.0","","3.1","","3.1","","3","E","17","","53",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-03-31","2023","03","31","","4.1","","-6.8","","-1.4","","19.4","","0.0","","0.0","","2.2","","2.2","","5","","30","","54",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-04-01","2023","04","01","","7.5","","-1.4","","3.1","","14.9","","0.0","","7.7","","1.4","","9.1","","2","","13","","58",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-04-02","2023","04","02","","7.4","","-3.6","","1.9","","16.1","","0.0","","0.0","","0.0","T","0.0","T","0","T","34","","71",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-04-03","2023","04","03","","7.6","","-4.6","","1.5","","16.5","","0.0","","0.0","","1.2","","1.2","","1","E","31","","50",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-04-04","2023","04","04","","11.0","","0.2","","5.6","","12.4","","0.0","","0.0","","0.0","T","0.0","T","0","T","21","","42",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-04-05","2023","04","05","","4.4","","-2.5","","1.0","","17.0","","0.0","","6.4","","0.0","T","6.4","","0","T","35","","47",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-04-06","2023","04","06","","2.1","","-1.4","","0.4","","17.6","","0.0","","0.6","","0.0","T","0.6","","0","T","12","","46",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-04-07","2023","04","07","","10.8","","-2.7","","4.1","","13.9","","0.0","","0.3","","0.0","T","0.3","","0","T","30","","67",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-04-08","2023","04","08","","3.0","","-4.6","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","0","T","33","","50",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-04-09","2023","04","09","","5.3","","-5.2","","0.1","","17.9","","0.0","","0.0","","0.0","","0.0","","0","T","32","","49",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-04-10","2023","04","10","","15.2","","-1.8","","6.7","","11.3","","0.0","","0.0","","0.0","","0.0","","","","33","","40",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-04-11","2023","04","11","","18.0","","-0.2","","8.9","","9.1","","0.0","","0.0","T","0.0","","0.0","T","","","26","","56",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-04-12","2023","04","12","","10.7","","2.5","","6.6","","11.4","","0.0","","0.0","T","0.0","","0.0","T","","","31","","62",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-04-13","2023","04","13","","17.9","","3.5","","10.7","","7.3","","0.0","","0.0","","0.0","","0.0","","","","31","","47",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-04-14","2023","04","14","","14.2","","1.4","","7.8","","10.2","","0.0","","0.0","","0.0","","0.0","","","","34","","58",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-04-15","2023","04","15","","14.9","","-1.4","","6.8","","11.2","","0.0","","0.0","","0.0","","0.0","","","","23","","36",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-04-16","2023","04","16","","11.2","","4.8","","8.0","","10.0","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-04-17","2023","04","17","","16.7","","4.4","","10.6","","7.4","","0.0","","0.0","T","0.0","","0.0","T","","","13","","41",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-04-18","2023","04","18","","15.7","","2.0","","8.9","","9.1","","0.0","","6.9","","0.0","","6.9","","","","13","","46",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-04-19","2023","04","19","","13.7","","1.7","","7.7","","10.3","","0.0","","0.0","T","0.0","","0.0","T","","","22","","45",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-04-20","2023","04","20","","12.7","","2.5","","7.6","","10.4","","0.0","","0.0","","0.0","","0.0","","","","32","","58",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-04-21","2023","04","21","","9.3","","0.3","","4.8","","13.2","","0.0","","0.0","","0.0","","0.0","","","","35","","46",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-04-22","2023","04","22","","13.2","","-1.2","","6.0","","12.0","","0.0","","0.0","","0.0","","0.0","","","","36","","42",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-04-23","2023","04","23","","14.6","","0.3","","7.5","","10.5","","0.0","","0.0","","0.0","","0.0","","","","16","","32",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-04-24","2023","04","24","","12.6","","-0.6","","6.0","","12.0","","0.0","","0.0","","0.0","","0.0","","","","14","","33",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-04-25","2023","04","25","","11.4","","1.2","","6.3","","11.7","","0.0","","0.0","","0.0","","0.0","","","","18","","33",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-04-26","2023","04","26","","13.2","","-0.3","","6.5","","11.5","","0.0","","2.0","","0.0","","2.0","","","","","M","","M"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-04-27","2023","04","27","","8.6","","1.2","","4.9","","13.1","","0.0","","3.2","","0.0","","3.2","","","","","M","","M"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-04-28","2023","04","28","","15.4","","0.5","","8.0","","10.0","","0.0","","0.0","","0.0","","0.0","","","","35","","39",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-04-29","2023","04","29","","12.0","","-0.7","","5.7","","12.3","","0.0","","0.0","","0.0","","0.0","","","","21","","34",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-04-30","2023","04","30","","9.8","","-1.0","","4.4","","13.6","","0.0","","0.0","","0.0","","0.0","","","","12","","46",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-05-01","2023","05","01","","7.6","","4.2","","5.9","","12.1","","0.0","","42.3","","0.0","","42.3","","","","13","","87",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-05-02","2023","05","02","","6.1","","2.6","","4.4","","13.6","","0.0","","0.0","T","0.0","","0.0","T","","","11","","41",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-05-03","2023","05","03","","5.2","","1.5","","3.4","","14.6","","0.0","","0.3","","0.0","","0.3","","","","10","","34",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-05-04","2023","05","04","","8.4","","1.6","","5.0","","13.0","","0.0","","0.0","T","0.0","","0.0","T","","","3","","47",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-05-05","2023","05","05","","9.7","","0.8","","5.3","","12.7","","0.0","","0.0","","0.0","","0.0","","","","35","","56",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-05-06","2023","05","06","","16.3","","0.4","","8.4","","9.6","","0.0","","0.0","","0.0","","0.0","","","","1","","55",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-05-07","2023","05","07","","16.1","","-0.8","","7.7","","10.3","","0.0","","0.0","","0.0","","0.0","","","","19","","52",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-05-08","2023","05","08","","18.8","","1.3","","10.1","","7.9","","0.0","","0.2","","0.0","","0.2","","","","33","","59",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-05-09","2023","05","09","","11.0","","1.0","","6.0","","12.0","","0.0","","0.2","","0.0","","0.2","","","","32","","65",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-05-10","2023","05","10","","15.1","","1.3","","8.2","","9.8","","0.0","","0.0","","0.0","","0.0","","","","30","","59",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-05-11","2023","05","11","","19.2","","3.7","","11.5","","6.5","","0.0","","0.0","","0.0","","0.0","","","","15","","39",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-05-12","2023","05","12","","18.0","","3.7","","10.9","","7.1","","0.0","","0.0","","0.0","","0.0","","","","18","","40",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-05-13","2023","05","13","","20.7","","4.7","","12.7","","5.3","","0.0","","2.5","","0.0","","2.5","","","","32","","58",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-05-14","2023","05","14","","12.1","","3.7","","7.9","","10.1","","0.0","","0.0","","0.0","","0.0","","","","26","","53",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2023-05-15","2023","05","15","","20.8","","3.7","","12.3","","5.7","","0.0","","0.0","T","0.0","","0.0","T","","","25","","60",""
